name,ring,quadrant,isNew,description
React,adopt,Languages & Frameworks,false,"React makes it painless to create interactive UIs. Design simple views for each state in your application, and React will efficiently update and render just the right components when your data changes.<span class=""infoLink"">React Docs: <a href=""https://facebook.github.io/react/docs/installation.html"" target=""_blank"">Click here</a></span>"
C#,adopt,Languages & Frameworks,false,"C# is a general-purpose, object-oriented programming language designed for the Common Language Infrastructure. <span class=""infoLink"">C# guide: <a href=""https://docs.microsoft.com/en-us/dotnet/csharp/"" target=""_blank"">Click here</a></span>"
HTML,adopt,Languages & Frameworks,false,HTML is the standard markup language for creating web pages and web applications. HTML describes the structure of a web page semantically and originally included cues for the appearance of the document. 
CSS,adopt,Languages & Frameworks,false,CSS is a style sheet language used for describing the presentation of a document written in a markup language
Javascript ES6,adopt,Languages & Frameworks,false,"ECMAScript 2015 is the sixth edition of the ECMAScript Language Specification standard. Initially referred to as ECMAScript 6 or ES6, it defines the standard for JavaScript implementation. <span class=""infoLink"">More info: <a href=""http://www.ecma-international.org/ecma-262/6.0/"" target=""_blank"">Click here</a></span>"
MVC,adopt,Languages & Frameworks,false,"MVC gives a powerful, patterns-based way to build dynamic websites that enables a clean separation of concerns and that gives full control over markup for agile development. <span class=""infoLink"">More info: <a href=""https://www.asp.net/mvc"" target=""_blank"">Click here</a></span>"
SASS,adopt,Languages & Frameworks,false,"SASS is an extension of CSS. Sass allows you to use things like variables, nested rules, inline imports and more. <span class=""infoLink"">More info: <a href=""http://sass-lang.com/"" target=""_blank"">Click here</a></span>"
NODE.js,adopt,Languages & Frameworks,false,"Node is a server framework that uses JavaScript on the server. <span class=""infoLink"">More info: <a href=""https://nodejs.org/en/"" target=""_blank"">Click here</a></span>"
Underscore.js,trial,Languages & Frameworks,false,"Underscore.js is a JavaScript library which provides utility functions for common programming tasks. <span class=""infoLink"">More info: <a href=""http://devdocs.io/underscore/"" target=""_blank"">Click here</a></span>"
PostCSS,assess,Languages & Frameworks,false,"PostCSS provide a CSS parser and a framework for creating plugins that can analyse, lint, handle assets, optimise, create fallbacks, and otherwise transform parsed CSS. <span class=""infoLink"">More info: <a href=""http://postcss.org/"" target=""_blank"">Click here</a></span>"
AngularJS,hold,Languages & Frameworks,false,"AngularJS is a JavaScript framework that extends HTML attributes with Directives, and binds data to HTML with Expressions. <span class=""infoLink"">More info: <a href=""https://docs.angularjs.org/guide"" target=""_blank"">Click here</a></span>"
jQuery,hold,Languages & Frameworks,false,"jQuery is a cross-platform JavaScript library designed to simplify the client-side scripting of HTML. <span class=""infoLink"">More info: <a href=""https://api.jquery.com/"" target=""_blank"">Click here</a></span>"
MS WebForms,hold,Languages & Frameworks,false,"Web Forms is a part of the ASP.NET web application framework. It is one of the four programming models you can use to create ASP.NET web applications. <span class=""infoLink"">More info: <a href=""https://docs.microsoft.com/en-us/aspnet/web-forms/what-is-web-forms"" target=""_blank"">Click here</a></span>"
Flash,hold,Languages & Frameworks,false,"Flash displays text, vector graphics and raster graphics to provide animations, video games and applications. <span class=""infoLink"">More info: <a href=""https://www.adobe.com/support/documentation/en/flashplayer/help/"" target=""_blank"">Click here</a></span>"
Drupal,adopt,Platforms,false,"Drupal is an open source content-management framework written in PHP using the Symfony framework. <span class=""infoLink"">  More info: <a href=""https://www.drupal.org/documentation"" target=""_blank"">Click here</a></span> "
Sitecore,adopt,Platforms,false,"Sitecore is an award winning enterprise content management system. Delivering unparalleled ease of use, total flexibility, and enterprise-grade capabilities. <span class=""infoLink"">More info: <a href=""https://doc.sitecore.net/"" target=""_blank"">Click here</a></span>"
Google Analytics,adopt,Platforms,false,"Google Analytics Solutions offers enterprise analytics tools to measure website, app, digital and offline data to gain customer insights. <span class=""infoLink"">More info: <a href=""https://developers.google.com/analytics/devguides/platform/"" target=""_blank"">Click here</a></span>"
Umbraco,adopt,Platforms,false,"Umbraco is an open source content management system (CMS) platform written in C# and deployed on Microsoft based infrastructure. <span class=""infoLink"">More info: <a href=""https://our.umbraco.org/documentation/"" target=""_blank"">Click here</a></span>"
EPiServer,hold,Platforms,false,"Episerver offers web content management , digital commerce and digital marketing. <span class=""infoLink"">More info: <a href=""https://world.episerver.com/documentation/"" target=""_blank"">Click here</a></span>"
Continuous Integration,adopt,Techniques,false,"continuous integration is the practice of merging all developer working copies to a shared mainline several times a day. <span class=""infoLink"">More info: <a href=""https://www.thoughtworks.com/continuous-integration"" target=""_blank"">Click here</a> </span>"
Progressive enhancement,adopt,Techniques,true,"Progressive enhancement is a strategy for web design that emphasizes core webpage content first. This strategy then progressively adds more nuanced and technically rigorous layers of presentation and features on top of the content as the end-user's internet connection and browsers allow. <span class=""infoLink"">More info: <a href=""https://developer.mozilla.org/nl/docs/Glossary/Progressive_Enhancement"" target=""_blank"">Click here</a> </span>"
Responsive,adopt,Techniques,false,"Responsive is an approach to web design aimed at allowing desktop webpages to be viewed in response to the size of the screen or web browser one is viewing with. <span class=""infoLink"">More info: <a href=""https://developers.google.com/web/fundamentals/design-and-ui/responsive/"" target=""_blank"">Click here</a> </span>"
Mobile first,adopt,Techniques,false,"Mobile First Responsive Design is a way of designing websites for Smaller Screens, and then progressively adjusts your design for devices with larger screens. <span class=""infoLink"">More info: See <i>Responsive</i> </span> "
Style Sheet Driven design,adopt,Techniques,false,"Style Sheet Driven Design allows the designers and developers to ensure an underlying consistency across a site's pages. <span class=""infoLink"">More info: <a href=""http://styleguides.io/articles"" target=""_blank"">Click here</a> </span>"
Scrum / Agile,adopt,Techniques,false,"Scrum / agile is an iterative and incremental agile software development framework for managing product development. <span class=""infoLink"">More info: <a href=""http://www.scrumguides.org/scrum-guide.html"" target=""_blank"">Click here</a> </span>"
Atomic Design,adopt,Techniques,false,"Atomic design is methodology for creating design systems with five distinct levels: Atoms, Molecules, Organisms, Templates and Pages. <span class=""infoLink"">More info: <a href=""http://bradfrost.com/blog/post/atomic-web-design/"" target=""_blank"">Click here</a> </span> "
Continuous Delivery,adopt,Techniques,false,"Continuous delivery is a software engineering approach in which teams produce software in short cycles, ensuring that the software can be reliably released at any time. <span class=""infoLink"">More info: <a href=""https://continuousdelivery.com/"" target=""_blank"">Click here</a> </span>"
Scaffolding,adopt,Techniques,false,"Scaffolding is a technique supported by some model–view–controller frameworks, in which the developer can specify how the application database may be used."
Test Driven Development,adopt,Techniques,false,Test-driven development is a software development process that relies on the repetition of a very short development cycle. Requirements are turned into very specific test cases. 
Inversion of Control / Dependency Injection,adopt,Techniques,false,dependency injection is a technique whereby one object supplies the dependencies of another object. A dependency is an object that can be used.
GIT,adopt,Tools,false,"Git is a version control system for tracking changes in computer files and coordinating work on those files among multiple people. <span class=""infoLink"">More info: <a href=""https://git-scm.com/documentation"" target=""_blank"">Click here</a> </span>"
GitHub,adopt,Tools,false,"GitHub is a web-based Git or version control repository and Internet hosting service. It offers all of the distributed version control and source code management functionality of Git as well as adding its own features.  <span class=""infoLink"">More info: <a href=""https://guides.github.com/"" target=""_blank"">Click here</a> </span>"
TargetProcess,adopt,Tools,false,"Targetprocess is a visual project management software solution that focuses on the agile software development methodology.  <span class=""infoLink"">More info: <a href=""https://dev.targetprocess.com/"" target=""_blank"">Click here</a> </span> "
NuGet,adopt,Tools,false,"NuGet is an package manager designed for the Microsoft development platform.  <span class=""infoLink"">More info: <a href=""https://docs.microsoft.com/en-us/nuget/"" target=""_blank"">Click here</a> </span>"
Resharper,adopt,Tools,false,"ReSharper is a popular developer productivity extension for Microsoft Visual Studio. It automates most of what can be automated in coding routines. <span class=""infoLink"">More info: <a href=""https://www.jetbrains.com/resharper/documentation/documentation.html"" target=""_blank"">Click here</a> </span>"
Selenium,adopt,Tools,false,"Selenium is a software-testing framework for web applications. Selenium provides a record/playback tool for authoring tests without the need to learn a test scripting language <span class=""infoLink"">More info: <a href=""http://www.seleniumhq.org/docs/"" target=""_blank"">Click here</a> </span>"
TeamCity,adopt,Tools,false,"TeamCity is a Java-based build management and continuous integration server. <span class=""infoLink"">More info: <a href=""https://www.jetbrains.com/teamcity/documentation/"" target=""_blank"">Click here</a> </span>"
PatternLab,adopt,Tools,false,"Pattern Lab is a static site generator, powered by either PHP or Node that stitches together UI components. <span class=""infoLink"">More info: <a href=""http://patternlab.io/docs/index.html"" target=""_blank"">Click here</a> </span>"
SonarQube,adopt,Tools,false,"SonarQube is an open source platform for continuous inspection of code quality. <span class=""infoLink"">More info: <a href=""https://docs.sonarqube.org/display/SONAR/Documentation"" target=""_blank"">Click here</a> </span>"
Gulp,adopt,Tools,false,"Gulp is a JavaScript toolkit, used as a streaming build system in front-end web development.It is a task runner for automation of time-consuming and repetitive tasks <span class=""infoLink"">More info: <a href=""https://github.com/gulpjs/gulp/blob/master/docs/API.md"" target=""_blank"">Click here</a> </span>"
Webpack,trial,Tools,true,"Webpack is a module bundler. Its main purpose is to bundle JavaScript files for usage in a browser, yet it is also capable of running tasks. <span class=""infoLink"">More info: <a href=""https://webpack.github.io/docs/"" target=""_blank"">Click here</a> </span>"
Yarn,assess,Tools,false,"Yarn is a fast and secure dependency management for JavaScript dependencies. <span class=""infoLink"">More info: <a href=""https://yarnpkg.com/lang/en/docs/"" target=""_blank"">Click here</a> </span>"
Grunt,hold,Tools,false,"Grunt is a JavaScript task runner, a tool used to automatically perform frequently used tasks such as minification, compilation, unit testing, linting and more. <span class=""infoLink"">More info: <a href=""https://gruntjs.com/getting-started"" target=""_blank"">Click here</a> </span>"
Bower,hold,Tools,false,"Bower is a package management system for client-side programming. It depends on Node.js and NPM. <span class=""infoLink"">More info: <a href=""https://bower.io/"" target=""_blank"">Click here</a> </span>"
